Season,TeamName,BoxscoreIndex
2011,Miami Heat,201012040MIA
2011,Miami Heat,201012060MIL
2011,Miami Heat,201012080UTA
2011,Miami Heat,201012100GSW
2011,Miami Heat,201012110SAC
2011,Miami Heat,201012130MIA
2011,Miami Heat,201012150MIA
2011,Miami Heat,201012170NYK
2011,Miami Heat,201012180WAS
2011,Miami Heat,201012200MIA
2011,Miami Heat,201012230PHO
2011,Miami Heat,201012250LAL
2011,Miami Heat,201012280MIA
2011,Miami Heat,201012290HOU
2011,Miami Heat,201101010MIA
2011,Miami Heat,201101030CHA
2011,Miami Heat,201101040MIA
2011,Miami Heat,201101070MIL
2011,Miami Heat,201101090POR
2011,Miami Heat,201101120LAC
2011,Miami Heat,201101130DEN
2011,Miami Heat,201101150CHI
2011,Miami Heat,201101180MIA
2011,Miami Heat,201101220MIA
2011,Miami Heat,201101270NYK
2011,Miami Heat,201101280MIA
2011,Miami Heat,201101300OKC
2011,Miami Heat,201101310MIA
2011,Miami Heat,201102030ORL
2011,Miami Heat,201102040CHA
2011,Miami Heat,201102060MIA
2011,Miami Heat,201102080MIA
2011,Miami Heat,201102110DET
2011,Miami Heat,201102130BOS
2011,Miami Heat,201102150IND
2011,Miami Heat,201102160TOR
2011,Miami Heat,201102220MIA
2011,Miami Heat,201102240CHI
2011,Miami Heat,201102250MIA
2011,Miami Heat,201102270MIA
2011,Miami Heat,201103030MIA
2011,Miami Heat,201103040SAS
2011,Miami Heat,201103060MIA
2011,Miami Heat,201103080MIA
2011,Miami Heat,201103100MIA
2011,Miami Heat,201103120MIA
2011,Miami Heat,201103140MIA
2011,Miami Heat,201103160MIA
2011,Miami Heat,201103180ATL
2011,Miami Heat,201103190MIA
2011,Miami Heat,201103230DET
2011,Miami Heat,201103250MIA
2011,Miami Heat,201103270MIA
2011,Miami Heat,201103290CLE
2011,Miami Heat,201103300WAS
2011,Miami Heat,201104010MIN
2011,Miami Heat,201104030NJN
2011,Miami Heat,201104060MIA
2011,Miami Heat,201104080MIA
2011,Miami Heat,201104100MIA
2011,Miami Heat,201104110ATL
2011,Miami Heat,201104130TOR
2011,Miami Heat,201104160MIA
2011,Miami Heat,201104180MIA
2011,Miami Heat,201104210PHI
2011,Miami Heat,201104240PHI
2011,Miami Heat,201104270MIA
2011,Miami Heat,201105010MIA
2011,Miami Heat,201105030MIA
2011,Miami Heat,201105070BOS
2011,Miami Heat,201105090BOS
2011,Miami Heat,201105110MIA
2011,Miami Heat,201105150CHI
2011,Miami Heat,201105180CHI
2011,Miami Heat,201105220MIA
2011,Miami Heat,201105240MIA
2011,Miami Heat,201105260CHI
2011,Miami Heat,201105310MIA
2011,Miami Heat,201106020MIA
2011,Miami Heat,201106050DAL
2011,Miami Heat,201106070DAL
2011,Miami Heat,201106090DAL
2011,Miami Heat,201106120MIA
2011,Los Angeles Lakers,201010260LAL
2011,Los Angeles Lakers,201010290PHO
